respondent_id,departure_datetime,first_warning_datetime,warning_to_departure_hours,departure_before_reported_warning
R_1QopVLxXcn3Fdx1,2018-07-26 07:00:00,2018-07-26 08:00:00,-1.0,1
R_2Ucl4NR6R5EYL3K,2018-07-26 22:00:00,2018-07-26 22:00:00,0.0,0
R_1gIbwlHOvWWsME3,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_1C2xQhR9lkkVgrV,2018-07-25 22:00:00,2018-07-25 22:00:00,0.0,0
R_3lzBVq5x5lm5fDN,2018-07-26 04:00:00,2018-07-26 01:00:00,3.0,0
R_31Eq23qzGzTPZCH,2018-07-27 15:00:00,2018-07-27 14:00:00,1.0,0
R_3PhsHifszhMqdyw,2018-08-02 19:00:00,2018-07-26 19:00:00,168.0,0
R_cH1pGcFux3vHjQ5,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_30uyCXoIyMbAqzY,2018-07-26 16:00:00,2018-07-26 16:00:00,0.0,0
R_6u0ZuPXGMhU9Cb7,2018-07-25 17:00:00,2018-07-29 10:00:00,-89.0,1
R_w1632nNrJHbQwXD,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_1DDdVb64RbjHNwZ,2018-07-26 18:00:00,2018-07-26 19:00:00,-1.0,1
R_ZxSRR2YQow2gsCt,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_1g2cNLuGJhss2SH,2018-07-26 09:00:00,2018-07-26 02:00:00,7.0,0
R_3CBi05IQjvKlg5k,2018-07-26 22:00:00,2018-07-26 22:00:00,0.0,0
R_vU2t6wvtjDVGmGZ,2018-07-26 07:00:00,2018-07-26 04:00:00,3.0,0
R_2sWIFN9KjNatAzn,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_31nmlH46AVJJX6z,2018-07-26 03:00:00,2018-07-26 02:00:00,1.0,0
R_scZkDal4BV3nKBr,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_1Kx7Fu1MaR7MziZ,2018-07-27 18:00:00,2018-07-27 08:00:00,10.0,0
R_2CEy2heQzqBXOsi,2018-07-27 14:00:00,2018-07-27 14:00:00,0.0,0
R_1n3GkV5TDrHe1jT,2018-07-26 21:00:00,2018-07-26 08:00:00,13.0,0
R_r9Crc0rckof2KAh,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_3kzbOLhaHG6l8nY,2018-07-26 21:00:00,2018-07-26 21:00:00,0.0,0
R_1q3sQuk6x8MBXCf,2018-07-27 19:00:00,2018-07-27 19:00:00,0.0,0
R_bmCqMDNZISMLNGF,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_2EGXnUyHI8Cg0Ku,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_3hm6uN8gAZTj0RV,2018-07-26 14:00:00,2018-07-26 14:00:00,0.0,0
R_YQ6bGfv11uiZz2x,2018-07-26 17:00:00,2018-07-26 16:00:00,1.0,0
R_xtSk2yy5JeqkCQN,2018-07-26 01:00:00,2018-07-26 03:00:00,-2.0,1
R_1NkLsF6RlYyVcTJ,2018-07-26 08:00:00,2018-07-26 08:00:00,0.0,0
R_XtXHlhcusHbZtex,2018-08-02 18:00:00,2018-08-02 13:00:00,5.0,0
R_d4KDNkk31PCfUlz,2018-07-26 08:00:00,2018-07-26 04:00:00,4.0,0
R_1OTbtuB9adxvBfd,2018-07-26 15:00:00,2018-07-26 15:00:00,0.0,0
R_12SCPa7kjKOCHj1,2018-07-26 19:00:00,2018-07-24 15:00:00,52.0,0
R_3RmbZEtozWBPsmX,2018-07-26 19:00:00,2018-07-26 17:00:00,2.0,0
R_6JQKI8orIiGFL0d,2018-07-28 14:00:00,2018-07-27 01:00:00,37.0,0
R_22EtUCjUUfYkwfU,2018-07-26 17:00:00,2018-07-26 17:00:00,0.0,0
R_2CpS2DKU7ssJpTa,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_1ovxt1FdSZ4N2Wr,2018-07-26 20:00:00,2018-07-26 23:00:00,-3.0,1
R_PU0o3El6PHPOMvv,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_1jCf8K0mpkls8wu,2018-07-26 16:00:00,2018-07-26 17:00:00,-1.0,1
R_2albY0CYNltJBWQ,2018-07-26 21:00:00,2018-07-26 22:00:00,-1.0,1
R_qInf8BfBNgRln6F,2018-07-26 05:00:00,2018-07-26 04:00:00,1.0,0
R_0vV55d31d3HXB2p,2018-07-25 16:00:00,2018-07-24 16:00:00,24.0,0
R_3NxrKyEfkUFFR5P,2018-07-26 19:00:00,2018-07-26 08:00:00,11.0,0
R_3QVHI6Rm0oN20x7,2018-07-26 14:00:00,2018-07-26 14:00:00,0.0,0
R_UPEamMPFpBg2RHj,2018-07-26 18:00:00,2018-07-26 19:00:00,-1.0,1
R_3HLY9mtkbWNTcXe,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_3HSqLLJPcrL1Kd6,2018-07-26 05:00:00,2018-07-26 02:00:00,3.0,0
R_2Sjm3hCjq6fj4Sw,2018-07-26 15:00:00,2018-07-26 15:00:00,0.0,0
R_21dFnfLps1QhAey,2018-07-26 21:00:00,2018-07-26 22:00:00,-1.0,1
R_2DTQf7Dr1mkzAXN,2018-07-24 06:00:00,2018-07-24 19:00:00,-13.0,1
R_3HOh76UfyXZ7yPp,2018-07-24 07:00:00,2018-07-24 03:00:00,4.0,0
R_247psfq3FDIrfp8,2018-07-26 19:00:00,2018-07-26 08:00:00,11.0,0
R_1GWbxr2zzYZJ42A,2018-07-25 07:00:00,2018-07-25 16:00:00,-9.0,1
R_2SxJJ6Muzd8bCIT,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_1I581NbdI446jaV,2018-07-26 21:00:00,2018-07-26 13:00:00,8.0,0
R_6uihOyEaHrQzGpz,2018-07-26 05:00:00,2018-07-26 05:00:00,0.0,0
R_SCbV7hJB7XQN1fz,2018-07-26 06:00:00,2018-07-26 05:00:00,1.0,0
R_1NttL98GxpoVU6n,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_2E0MLwCTfKQoOqT,2018-07-26 18:00:00,2018-07-27 16:00:00,-22.0,1
R_3R9qj68xXAnxsSQ,2018-07-26 10:00:00,2018-07-24 12:00:00,46.0,0
R_2wTWoAoDMdnoXHz,2018-07-26 18:00:00,2018-07-26 06:00:00,12.0,0
