hours_since_fire,departed_count,departed_share,denominator_q9_answered
187.5,286,0.8666666666666667,330
188.0,286,0.8666666666666667,330
188.5,286,0.8666666666666667,330
189.0,286,0.8666666666666667,330
189.5,286,0.8666666666666667,330
190.0,286,0.8666666666666667,330
190.5,286,0.8666666666666667,330
191.0,286,0.8666666666666667,330
191.5,286,0.8666666666666667,330
192.0,286,0.8666666666666667,330
192.5,286,0.8666666666666667,330
193.0,286,0.8666666666666667,330
193.5,286,0.8666666666666667,330
194.0,286,0.8666666666666667,330
194.5,286,0.8666666666666667,330
195.0,286,0.8666666666666667,330
195.5,286,0.8666666666666667,330
196.0,286,0.8666666666666667,330
196.5,286,0.8666666666666667,330
197.0,286,0.8666666666666667,330
197.5,286,0.8666666666666667,330
198.0,286,0.8666666666666667,330
198.5,286,0.8666666666666667,330
199.0,286,0.8666666666666667,330
199.5,286,0.8666666666666667,330
200.0,286,0.8666666666666667,330
200.5,286,0.8666666666666667,330
201.0,286,0.8666666666666667,330
201.5,286,0.8666666666666667,330
202.0,286,0.8666666666666667,330
202.5,286,0.8666666666666667,330
203.0,286,0.8666666666666667,330
203.5,286,0.8666666666666667,330
204.0,286,0.8666666666666667,330
204.5,286,0.8666666666666667,330
205.0,286,0.8666666666666667,330
205.5,286,0.8666666666666667,330
206.0,286,0.8666666666666667,330
206.5,286,0.8666666666666667,330
207.0,286,0.8666666666666667,330
207.5,286,0.8666666666666667,330
208.0,286,0.8666666666666667,330
208.5,286,0.8666666666666667,330
209.0,286,0.8666666666666667,330
209.5,286,0.8666666666666667,330
210.0,286,0.8666666666666667,330
210.5,286,0.8666666666666667,330
211.0,286,0.8666666666666667,330
211.5,286,0.8666666666666667,330
212.0,287,0.8696969696969697,330
212.5,287,0.8696969696969697,330
213.0,287,0.8696969696969697,330
213.5,287,0.8696969696969697,330
214.0,287,0.8696969696969697,330
214.5,287,0.8696969696969697,330
215.0,287,0.8696969696969697,330
215.5,287,0.8696969696969697,330
216.0,287,0.8696969696969697,330
216.5,287,0.8696969696969697,330
217.0,287,0.8696969696969697,330
217.5,287,0.8696969696969697,330
218.0,287,0.8696969696969697,330
218.5,287,0.8696969696969697,330
219.0,287,0.8696969696969697,330
219.5,287,0.8696969696969697,330
220.0,287,0.8696969696969697,330
220.5,287,0.8696969696969697,330
221.0,287,0.8696969696969697,330
221.5,287,0.8696969696969697,330
222.0,287,0.8696969696969697,330
222.5,287,0.8696969696969697,330
223.0,287,0.8696969696969697,330
223.5,287,0.8696969696969697,330
224.0,287,0.8696969696969697,330
224.5,287,0.8696969696969697,330
225.0,288,0.8727272727272727,330
225.5,288,0.8727272727272727,330
226.0,288,0.8727272727272727,330
226.5,288,0.8727272727272727,330
227.0,288,0.8727272727272727,330
227.5,288,0.8727272727272727,330
228.0,288,0.8727272727272727,330
228.5,288,0.8727272727272727,330
229.0,288,0.8727272727272727,330
229.5,288,0.8727272727272727,330
230.0,288,0.8727272727272727,330
230.5,288,0.8727272727272727,330
231.0,288,0.8727272727272727,330
231.5,288,0.8727272727272727,330
232.0,288,0.8727272727272727,330
232.5,288,0.8727272727272727,330
233.0,288,0.8727272727272727,330
233.5,288,0.8727272727272727,330
234.0,288,0.8727272727272727,330
234.5,288,0.8727272727272727,330
235.0,288,0.8727272727272727,330
235.5,288,0.8727272727272727,330
236.0,288,0.8727272727272727,330
236.5,288,0.8727272727272727,330
237.0,288,0.8727272727272727,330
237.5,288,0.8727272727272727,330
238.0,288,0.8727272727272727,330
238.5,288,0.8727272727272727,330
239.0,288,0.8727272727272727,330
239.5,288,0.8727272727272727,330
240.0,288,0.8727272727272727,330
240.5,288,0.8727272727272727,330
241.0,288,0.8727272727272727,330
241.5,288,0.8727272727272727,330
242.0,288,0.8727272727272727,330
242.5,288,0.8727272727272727,330
243.0,288,0.8727272727272727,330
243.5,288,0.8727272727272727,330
244.0,288,0.8727272727272727,330
244.5,288,0.8727272727272727,330
245.0,290,0.8787878787878788,330
245.5,290,0.8787878787878788,330
246.0,291,0.8818181818181818,330
246.5,291,0.8818181818181818,330
247.0,291,0.8818181818181818,330
247.5,291,0.8818181818181818,330
248.0,291,0.8818181818181818,330
248.5,291,0.8818181818181818,330
249.0,291,0.8818181818181818,330
249.5,291,0.8818181818181818,330
250.0,291,0.8818181818181818,330
250.5,291,0.8818181818181818,330
251.0,291,0.8818181818181818,330
251.5,291,0.8818181818181818,330
252.0,291,0.8818181818181818,330
252.5,291,0.8818181818181818,330
253.0,291,0.8818181818181818,330
253.5,291,0.8818181818181818,330
254.0,291,0.8818181818181818,330
254.5,291,0.8818181818181818,330
255.0,291,0.8818181818181818,330
255.5,291,0.8818181818181818,330
256.0,291,0.8818181818181818,330
256.5,291,0.8818181818181818,330
257.0,291,0.8818181818181818,330
257.5,291,0.8818181818181818,330
258.0,291,0.8818181818181818,330
258.5,291,0.8818181818181818,330
259.0,291,0.8818181818181818,330
259.5,291,0.8818181818181818,330
260.0,291,0.8818181818181818,330
260.5,291,0.8818181818181818,330
261.0,291,0.8818181818181818,330
261.5,291,0.8818181818181818,330
262.0,291,0.8818181818181818,330
262.5,291,0.8818181818181818,330
263.0,291,0.8818181818181818,330
263.5,291,0.8818181818181818,330
264.0,291,0.8818181818181818,330
264.5,291,0.8818181818181818,330
265.0,291,0.8818181818181818,330
265.5,291,0.8818181818181818,330
266.0,291,0.8818181818181818,330
266.5,291,0.8818181818181818,330
267.0,291,0.8818181818181818,330
267.5,291,0.8818181818181818,330
268.0,292,0.8848484848484849,330
