donor_id,PUMA,WGTP,NP,TYPE,VEH,HHT,HINCP,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000733,08900,42,1,1,2.0,4.0,19800.0,15000_19999,2,nonfamily_living_alone,no_65_plus,42.0,1
donor_h0000734,08900,8,1,1,4.0,4.0,25100.0,25000_29999,4_plus,nonfamily_living_alone,has_65_plus,8.0,1
donor_h0000735,08900,16,3,1,4.0,1.0,107100.0,100000_124999,4_plus,married_couple,has_65_plus,16.0,3
donor_h0000736,08900,6,2,1,2.0,3.0,30000.0,30000_34999,2,other_female_householder,has_65_plus,6.0,2
donor_h0000737,08900,2,3,1,2.0,3.0,21600.0,20000_24999,2,other_female_householder,no_65_plus,2.0,3
donor_h0000738,08900,12,2,1,2.0,1.0,89600.0,75000_99999,2,married_couple,no_65_plus,12.0,2
donor_h0000739,08900,12,1,1,1.0,6.0,23300.0,20000_24999,1,nonfamily_not_living_alone,has_65_plus,12.0,1
donor_h0000740,08900,13,4,1,3.0,1.0,74000.0,60000_74999,3,married_couple,no_65_plus,13.0,4
donor_h0000741,08900,7,5,1,3.0,1.0,80000.0,75000_99999,3,married_couple,has_65_plus,7.0,5
donor_h0000742,08900,12,1,1,0.0,6.0,19000.0,15000_19999,0,nonfamily_not_living_alone,has_65_plus,12.0,1
donor_h0000743,08900,15,1,1,1.0,4.0,25000.0,25000_29999,1,nonfamily_living_alone,no_65_plus,15.0,1
donor_h0000744,08900,13,6,1,2.0,1.0,71000.0,60000_74999,2,married_couple,has_65_plus,13.0,6
donor_h0000745,08900,24,5,1,3.0,1.0,59000.0,50000_59999,3,married_couple,no_65_plus,24.0,5
donor_h0000746,08900,34,2,1,1.0,5.0,40000.0,40000_44999,1,nonfamily_living_alone,no_65_plus,34.0,2
donor_h0000747,08900,7,2,1,3.0,1.0,95000.0,75000_99999,3,married_couple,no_65_plus,7.0,2
donor_h0000748,08900,37,1,1,1.0,4.0,20000.0,20000_24999,1,nonfamily_living_alone,no_65_plus,37.0,1
donor_h0000749,08900,16,4,1,3.0,1.0,68000.0,60000_74999,3,married_couple,no_65_plus,16.0,4
donor_h0000750,08900,25,5,1,3.0,1.0,78000.0,75000_99999,3,married_couple,no_65_plus,25.0,5
donor_h0000751,08900,13,1,1,4.0,6.0,20100.0,20000_24999,4_plus,nonfamily_not_living_alone,has_65_plus,13.0,1
donor_h0000752,08900,20,1,1,2.0,6.0,8400.0,lt_10000,2,nonfamily_not_living_alone,has_65_plus,20.0,1
donor_h0000753,08900,13,2,1,2.0,2.0,28000.0,25000_29999,2,other_male_householder,no_65_plus,13.0,2
donor_h0000754,08900,43,1,1,1.0,6.0,25000.0,25000_29999,1,nonfamily_not_living_alone,no_65_plus,43.0,1
donor_h0000755,08900,5,2,1,3.0,1.0,24002.0,20000_24999,3,married_couple,has_65_plus,5.0,2
donor_h0000756,08900,12,3,1,1.0,1.0,38950.0,35000_39999,1,married_couple,no_65_plus,12.0,3
donor_h0000757,08900,21,2,1,3.0,1.0,77000.0,75000_99999,3,married_couple,has_65_plus,21.0,2
donor_h0000758,08900,8,2,1,2.0,2.0,58000.0,50000_59999,2,other_male_householder,has_65_plus,8.0,2
donor_h0000759,08900,23,2,1,2.0,5.0,51000.0,50000_59999,2,nonfamily_living_alone,no_65_plus,23.0,2
donor_h0000760,08900,13,1,1,0.0,6.0,0.0,lt_10000,0,nonfamily_not_living_alone,no_65_plus,13.0,1
donor_h0000761,08900,13,1,1,2.0,4.0,18000.0,15000_19999,2,nonfamily_living_alone,no_65_plus,13.0,1
donor_h0000762,08900,12,3,1,3.0,1.0,8500.0,lt_10000,3,married_couple,has_65_plus,12.0,3
donor_h0000763,08900,9,1,1,1.0,6.0,17300.0,15000_19999,1,nonfamily_not_living_alone,has_65_plus,9.0,1
donor_h0000764,08900,12,2,1,1.0,3.0,54200.0,50000_59999,1,other_female_householder,has_65_plus,12.0,2
donor_h0000765,08900,64,2,1,3.0,1.0,65000.0,60000_74999,3,married_couple,no_65_plus,64.0,2
donor_h0000766,08900,8,2,1,1.0,1.0,44500.0,40000_44999,1,married_couple,has_65_plus,8.0,2
donor_h0000767,08900,9,3,1,3.0,1.0,108700.0,100000_124999,3,married_couple,has_65_plus,9.0,3
donor_h0000768,08900,11,1,1,2.0,4.0,108500.0,100000_124999,2,nonfamily_living_alone,no_65_plus,11.0,1
donor_h0000769,08900,8,2,1,5.0,5.0,34600.0,30000_34999,4_plus,nonfamily_living_alone,has_65_plus,8.0,2
donor_h0000770,08900,7,2,1,3.0,1.0,0.0,lt_10000,3,married_couple,no_65_plus,7.0,2
donor_h0000771,08900,14,5,1,6.0,3.0,95200.0,75000_99999,4_plus,other_female_householder,no_65_plus,14.0,5
donor_h0000772,08900,23,3,1,2.0,1.0,33300.0,30000_34999,2,married_couple,has_65_plus,23.0,3
