donor_id,SPORDER,PWGTP,AGEP,DEAR,DEYE,DOUT,DPHY,DRAT,DREM,RELP,DIS,person_age_group,decision_capable,decision_policy
donor_h0002055,2,14,76,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002056,1,11,56,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002057,1,11,63,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002057,2,12,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002058,1,64,30,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002059,1,10,68,2,2,1.0,2.0,,2.0,0,1,65_plus,True,generative
donor_h0002060,1,13,52,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002060,2,15,20,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002061,1,10,38,2,2,2.0,2.0,4.0,2.0,0,2,35_64,True,generative
donor_h0002061,2,9,37,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002062,1,14,48,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002062,2,13,58,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002062,3,14,20,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002062,4,16,94,1,2,1.0,1.0,3.0,2.0,8,1,65_plus,True,generative
donor_h0002063,1,6,64,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002063,2,6,66,2,2,2.0,2.0,5.0,2.0,1,2,65_plus,True,generative
donor_h0002063,3,8,63,2,2,2.0,2.0,,2.0,5,2,35_64,True,generative
donor_h0002064,1,14,67,1,2,2.0,1.0,3.0,2.0,0,1,65_plus,True,generative
donor_h0002064,2,16,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002065,1,3,56,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002066,1,21,59,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002066,2,24,59,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002067,1,10,70,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002067,2,13,67,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002068,1,28,65,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002068,2,27,59,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002069,1,12,62,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002069,2,11,62,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002070,1,17,73,1,2,2.0,2.0,,2.0,0,1,65_plus,True,generative
donor_h0002070,2,21,73,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002071,1,14,30,2,2,2.0,2.0,,1.0,0,1,18_34,True,generative
donor_h0002071,2,23,13,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002071,3,23,10,2,1,,2.0,,2.0,2,1,0_17,False,dependent
donor_h0002072,1,12,67,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002072,2,11,60,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002073,1,7,56,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002073,2,6,65,2,2,2.0,2.0,,1.0,1,1,65_plus,True,generative
donor_h0002074,1,32,78,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002074,2,28,83,2,2,2.0,1.0,,2.0,1,1,65_plus,True,generative
donor_h0002075,1,12,69,2,2,2.0,1.0,2.0,2.0,0,1,65_plus,True,generative
donor_h0002075,2,10,68,2,2,2.0,1.0,,2.0,1,1,65_plus,True,generative
donor_h0002075,3,16,43,2,2,2.0,2.0,,2.0,2,2,35_64,True,generative
donor_h0002075,4,28,34,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative
donor_h0002075,5,22,10,2,2,,2.0,,2.0,7,2,0_17,False,dependent
donor_h0002076,1,6,67,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002076,2,7,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002077,1,21,56,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002077,2,24,55,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002078,1,8,60,2,2,1.0,1.0,,2.0,0,1,35_64,True,generative
donor_h0002079,1,11,64,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002079,2,10,64,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002080,1,12,62,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002080,2,11,59,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002081,1,14,55,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002081,2,13,55,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002082,1,12,69,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002083,1,9,89,1,1,1.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002084,1,15,43,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002084,2,16,38,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002085,1,74,28,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002085,2,65,37,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002085,3,65,0,2,2,,,,,2,2,0_17,False,dependent
donor_h0002086,1,16,38,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002086,2,15,40,2,2,2.0,2.0,,2.0,13,2,35_64,True,generative
donor_h0002087,1,75,34,1,2,2.0,2.0,,2.0,0,1,18_34,True,generative
donor_h0002088,1,16,60,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002089,1,36,23,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002089,2,44,5,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002089,3,39,4,2,2,,,,,2,2,0_17,False,dependent
donor_h0002089,4,44,1,2,2,,,,,2,2,0_17,False,dependent
donor_h0002089,5,55,27,2,2,2.0,2.0,,2.0,13,2,18_34,True,generative
donor_h0002090,1,16,68,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002090,2,12,75,2,2,2.0,2.0,5.0,2.0,1,2,65_plus,True,generative
donor_h0002091,1,12,73,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002092,1,16,65,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002092,2,13,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002093,1,9,45,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002093,2,11,42,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002093,3,11,14,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002093,4,11,9,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002094,1,13,74,2,2,1.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002095,1,3,49,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002095,2,3,45,2,2,1.0,1.0,,1.0,1,1,35_64,True,generative
donor_h0002096,1,9,51,2,1,1.0,1.0,,2.0,0,1,35_64,True,generative
donor_h0002097,1,6,47,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002097,2,8,47,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002097,3,6,17,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002097,4,8,14,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002098,1,18,32,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002098,2,24,33,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0002099,1,38,33,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002099,2,29,34,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0002099,3,57,13,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002100,1,30,26,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002100,2,24,2,2,2,,,,,2,2,0_17,False,dependent
donor_h0002100,3,24,0,2,2,,,,,2,2,0_17,False,dependent
donor_h0002100,4,24,10,2,2,,2.0,,2.0,4,2,0_17,False,dependent
donor_h0002100,5,24,7,2,2,,2.0,,2.0,4,2,0_17,False,dependent
donor_h0002100,6,17,34,2,2,2.0,2.0,,2.0,13,2,18_34,True,generative
donor_h0002101,1,13,47,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002101,2,11,53,2,2,2.0,2.0,,2.0,13,2,35_64,True,generative
donor_h0002102,1,15,89,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002103,1,26,45,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002104,1,2,74,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002104,2,2,86,1,2,1.0,2.0,,2.0,1,1,65_plus,True,generative
donor_h0002105,1,15,94,2,2,1.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0002106,1,6,31,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0002106,2,9,30,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0002106,3,10,0,2,2,,,,,2,2,0_17,False,dependent
donor_h0002107,1,3,46,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002107,2,3,42,1,2,2.0,2.0,,2.0,1,1,35_64,True,generative
donor_h0002108,1,6,50,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002108,2,23,49,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002109,1,9,66,1,1,1.0,1.0,,1.0,0,1,65_plus,True,generative
donor_h0002110,1,9,72,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002111,1,5,69,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002111,2,6,61,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002112,1,11,63,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002112,2,11,69,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0002113,1,13,73,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002114,1,8,45,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002114,2,8,44,1,2,2.0,2.0,,2.0,1,1,35_64,True,generative
donor_h0002114,3,7,16,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002114,4,8,9,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0002115,1,15,75,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0002115,2,13,84,1,2,2.0,2.0,,2.0,1,1,65_plus,True,generative
donor_h0002116,1,11,62,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0002116,2,11,62,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0002117,1,3,62,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
