households,step,hours,metric,runs,mean,minimum,maximum
24,6,3.0,joint_execution_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,7,3.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,7,3.5,first_departure_share,3,0.27956989247311825,0.22580645161290322,0.3548387096774194
24,7,3.5,all_safe_household_share,3,0.3055555555555556,0.25,0.375
24,7,3.5,joint_agreement_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,7,3.5,joint_execution_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,8,4.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,8,4.0,first_departure_share,3,0.27956989247311825,0.22580645161290322,0.3548387096774194
24,8,4.0,all_safe_household_share,3,0.3055555555555556,0.25,0.375
24,8,4.0,joint_agreement_household_share,3,0.2857142857142857,0.2857142857142857,0.2857142857142857
24,8,4.0,joint_execution_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,9,4.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,9,4.5,first_departure_share,3,0.27956989247311825,0.22580645161290322,0.3548387096774194
24,9,4.5,all_safe_household_share,3,0.3055555555555556,0.25,0.375
24,9,4.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,9,4.5,joint_execution_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,10,5.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,10,5.0,first_departure_share,3,0.3010752688172043,0.22580645161290322,0.3870967741935484
24,10,5.0,all_safe_household_share,3,0.3055555555555556,0.25,0.375
24,10,5.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,10,5.0,joint_execution_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,11,5.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,11,5.5,first_departure_share,3,0.3225806451612903,0.25806451612903225,0.3870967741935484
24,11,5.5,all_safe_household_share,3,0.3194444444444444,0.25,0.375
24,11,5.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,11,5.5,joint_execution_household_share,3,0.09523809523809523,0.0,0.14285714285714285
24,12,6.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,12,6.0,first_departure_share,3,0.3440860215053763,0.3225806451612903,0.3870967741935484
24,12,6.0,all_safe_household_share,3,0.3333333333333333,0.2916666666666667,0.375
24,12,6.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,12,6.0,joint_execution_household_share,3,0.14285714285714285,0.14285714285714285,0.14285714285714285
24,13,6.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,13,6.5,first_departure_share,3,0.3655913978494624,0.3225806451612903,0.41935483870967744
24,13,6.5,all_safe_household_share,3,0.3611111111111111,0.2916666666666667,0.4166666666666667
24,13,6.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,13,6.5,joint_execution_household_share,3,0.14285714285714285,0.14285714285714285,0.14285714285714285
24,14,7.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,14,7.0,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
24,14,7.0,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,14,7.0,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,14,7.0,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,15,7.5,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,15,7.5,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
24,15,7.5,all_safe_household_share,3,0.375,0.3333333333333333,0.4166666666666667
24,15,7.5,joint_agreement_household_share,3,0.3333333333333333,0.2857142857142857,0.42857142857142855
24,15,7.5,joint_execution_household_share,3,0.19047619047619047,0.14285714285714285,0.2857142857142857
24,16,8.0,official_recipient_share,3,0.5483870967741935,0.5483870967741935,0.5483870967741935
24,16,8.0,first_departure_share,3,0.3870967741935484,0.3548387096774194,0.41935483870967744
