sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_04133,0608900,2018,16,4,100000_124999,3,other_female_householder,no_65_plus,35_64,111100,3,3
pums_ca_08900_04134,0608900,2018,4,2,100000_124999,3,married_couple,no_65_plus,35_64,103740,3,1
pums_ca_08900_04135,0608900,2018,18,1,lt_10000,1,nonfamily_living_alone,no_65_plus,35_64,0,1,4
pums_ca_08900_04136,0608900,2018,16,3,60000_74999,3,married_couple,no_65_plus,35_64,63000,3,1
pums_ca_08900_04137,0608900,2018,5,4,150000_199999,4_plus,married_couple,has_65_plus,65_plus,184600,6,1
pums_ca_08900_04138,0608900,2018,13,2,200000_plus,2,married_couple,no_65_plus,35_64,245000,2,1
pums_ca_08900_04139,0608900,2018,8,4,40000_44999,3,other_female_householder,no_65_plus,35_64,43270,3,3
pums_ca_08900_04140,0608900,2018,25,3,125000_149999,4_plus,married_couple,has_65_plus,65_plus,128000,5,1
pums_ca_08900_04141,0608900,2018,3,4,200000_plus,3,married_couple,no_65_plus,35_64,266800,3,1
pums_ca_08900_04142,0608900,2018,15,2,20000_24999,3,other_female_householder,no_65_plus,18_34,20500,3,3
pums_ca_08900_04143,0608900,2018,19,2,200000_plus,3,married_couple,no_65_plus,35_64,283000,3,1
pums_ca_08900_04144,0608900,2018,18,1,10000_14999,1,nonfamily_not_living_alone,has_65_plus,65_plus,11200,1,6
pums_ca_08900_04145,0608900,2018,41,4,60000_74999,1,other_female_householder,no_65_plus,18_34,65600,1,3
pums_ca_08900_04146,0608900,2018,12,1,lt_10000,1,nonfamily_not_living_alone,has_65_plus,65_plus,7500,1,6
pums_ca_08900_04147,0608900,2018,11,2,35000_39999,1,married_couple,has_65_plus,65_plus,36020,1,1
