geoid,state_fips,county_fips,tract,geography,attribute,category,estimate,source_table,source_lines,universe,vintage
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,20000_24999,10,B19001,B19001 line 5,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,25000_29999,20,B19001,B19001 line 6,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,30000_34999,39,B19001,B19001 line 7,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,35000_39999,51,B19001,B19001 line 8,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,40000_44999,14,B19001,B19001 line 9,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,45000_49999,17,B19001,B19001 line 10,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,50000_59999,58,B19001,B19001 line 11,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,60000_74999,167,B19001,B19001 line 12,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,75000_99999,140,B19001,B19001 line 13,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_income,lt_10000,18,B19001,B19001 line 2,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_older_adult_presence,has_65_plus,392,B11007,B11007 line 2,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_older_adult_presence,no_65_plus,556,B11007,B11007 line 7,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_structure,married_couple,599,B11001,B11001 line 3,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_structure,nonfamily_living_alone,192,B11001,B11001 line 8,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_structure,nonfamily_not_living_alone,42,B11001,B11001 line 9,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_structure,other_female_householder,84,B11001,B11001 line 6,Households,2018
14000US06089010601,06,089,010601,"Census Tract 010601, Shasta County, California",household_structure,other_male_householder,31,B11001,B11001 line 5,Households,2018
